d_cents,chase_timeout_secs,max_pair_cost_cents,fill_model,total_pairs,profitable_pairs,profit_rate,chase_completed,total_unwinds,avg_pair_cost,avg_edge_cents,gross_edge_cents,unwind_loss_cents,net_pnl_cents,l1_distance,overlap_pct
2,15.0,100,price_improve_to_ask,6269,5298,0.8451,6269,8297,97.08,2.92,18320,-73030,-54710,1.4719,26.41
2,15.0,102,price_improve_to_ask,6691,5215,0.7794,6691,7917,97.42,2.58,17250,-71692,-54442,1.4094,29.53
2,15.0,104,price_improve_to_ask,6764,5218,0.7714,6764,7847,97.49,2.51,16983,-71310,-54327,1.3883,30.58
2,15.0,106,price_improve_to_ask,6771,5219,0.7708,6771,7840,97.5,2.5,16948,-71255,-54307,1.387,30.65
2,30.0,100,price_improve_to_ask,7472,5496,0.7355,7472,5190,97.59,2.41,18018,-66047,-48029,1.483,25.85
2,30.0,102,price_improve_to_ask,8396,5200,0.6193,8396,4466,98.28,1.72,14430,-62169,-47739,1.2278,38.61
2,30.0,104,price_improve_to_ask,8973,5199,0.5794,8973,3973,98.73,1.27,11424,-58922,-47498,1.1726,41.37
2,30.0,106,price_improve_to_ask,9249,5204,0.5627,9249,3726,98.97,1.03,9486,-56916,-47430,1.1964,40.18
3,15.0,100,price_improve_to_ask,2468,2327,0.9429,2468,4891,95.2,4.8,11858,-42831,-30973,1.3774,31.13
3,15.0,102,price_improve_to_ask,2507,2316,0.9238,2507,4853,95.32,4.68,11730,-42695,-30965,1.3504,32.48
3,15.0,104,price_improve_to_ask,2519,2316,0.9194,2519,4841,95.36,4.64,11686,-42634,-30948,1.341,32.95
3,15.0,106,price_improve_to_ask,2521,2316,0.9187,2521,4839,95.37,4.63,11675,-42618,-30943,1.3401,32.99
3,30.0,100,price_improve_to_ask,3558,2921,0.821,3558,3068,96.3,3.7,13156,-41422,-28266,1.412,29.4
3,30.0,102,price_improve_to_ask,3831,2798,0.7304,3831,2812,96.88,3.12,11937,-40247,-28310,1.2508,37.46
3,30.0,104,price_improve_to_ask,4001,2792,0.6978,4001,2654,97.24,2.76,11060,-39233,-28173,1.1852,40.74
3,30.0,106,price_improve_to_ask,4050,2793,0.6896,4050,2609,97.35,2.65,10714,-38863,-28149,1.1962,40.19
4,15.0,100,price_improve_to_ask,1113,1081,0.9712,1113,3071,93.13,6.87,7647,-26663,-19016,1.3537,32.31
4,15.0,102,price_improve_to_ask,1122,1079,0.9617,1122,3062,93.21,6.79,7622,-26631,-19009,1.3354,33.23
4,15.0,104,price_improve_to_ask,1125,1079,0.9591,1125,3059,93.24,6.76,7610,-26617,-19007,1.3305,33.47
4,15.0,106,price_improve_to_ask,1125,1079,0.9591,1125,3059,93.24,6.76,7610,-26617,-19007,1.3305,33.47
4,30.0,100,price_improve_to_ask,1857,1682,0.9058,1857,1988,94.82,5.18,9618,-27488,-17870,1.3212,33.94
4,30.0,102,price_improve_to_ask,1944,1644,0.8457,1944,1902,95.26,4.74,9218,-27147,-17929,1.2236,38.82
4,30.0,104,price_improve_to_ask,1984,1642,0.8276,1984,1865,95.44,4.56,9047,-26904,-17857,1.1789,41.05
4,30.0,106,price_improve_to_ask,1993,1642,0.8239,1993,1857,95.49,4.51,8985,-26841,-17856,1.177,41.15
